Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,BR ID
Nick Anderson,"Nov 4, '89, ORL vs. NJN",22,1,81,1785,372,753,1,17,186,264,107,316,124,69,34,138,140,931,0.494,0.059,0.705,22.0,11.5,3.9,1.5,1990,anderni01
Michael Ansley,"Nov 6, '89, ORL vs. NYK",22,1,72,1221,231,465,0,0,164,227,187,362,40,24,17,50,152,626,0.497,,0.722,17.0,8.7,5.0,0.6,1990,anslemi01
B.J. Armstrong,"Nov 3, '89, CHI vs. CLE",22,1,81,1291,190,392,3,6,69,78,19,102,199,46,6,83,105,452,0.485,0.5,0.885,15.9,5.6,1.3,2.5,1990,armstbj01
Dana Barros,"Nov 3, '89, SEA vs. MIN",22,1,81,1630,299,738,95,238,89,110,35,132,205,53,1,123,97,782,0.405,0.399,0.809,20.1,9.7,1.6,2.5,1990,barroda01
Kenny Battle,"Nov 3, '89, PHO vs. GSW",25,1,59,729,93,170,1,4,55,82,44,124,38,35,11,32,94,242,0.547,0.25,0.671,12.4,4.1,2.1,0.6,1990,battlke01
Winston Bennett,"Nov 3, '89, CLE @ CHI",24,1,55,990,137,286,0,0,64,96,84,188,54,23,10,62,133,338,0.479,,0.667,18.0,6.1,3.4,1.0,1990,bennewi01
Mookie Blaylock,"Nov 3, '89, NJN @ MIA",22,1,50,1267,212,571,18,80,63,81,42,140,210,82,14,111,110,505,0.371,0.225,0.778,25.3,10.1,2.8,4.2,1990,blaylmo01
Chucky Brown,"Nov 3, '89, CLE @ CHI",21,1,75,1339,210,447,0,7,125,164,83,231,50,33,26,69,148,545,0.47,0.0,0.762,17.9,7.3,3.1,0.7,1990,brownch01
Raymond Brown,"Feb 19, '90, UTA vs. PHI",24,1,16,56,8,28,0,0,0,2,10,15,4,0,0,6,11,16,0.286,,0.0,3.5,1.0,0.9,0.3,1990,brownra01
Stanley Brundy,"Nov 3, '89, NJN @ MIA",22,1,16,128,15,30,0,0,7,18,15,26,3,6,5,6,24,37,0.5,,0.389,8.0,2.3,1.6,0.2,1990,brundst01
Torgeir Bryn,"Nov 3, '89, LAC vs. HOU",25,1,3,10,0,2,0,0,4,6,0,2,0,2,1,1,5,4,0.0,,0.667,3.3,1.3,0.7,0.0,1990,brynto01
Steve Bucknall,"Nov 7, '89, LAL vs. PHO",23,1,18,75,9,33,0,1,5,6,5,7,10,2,1,11,10,23,0.273,0.0,0.833,4.2,1.3,0.4,0.6,1990,bucknst01
Adrian Caldwell,"Nov 4, '89, HOU @ GSW",23,1,51,331,42,76,0,0,13,28,36,109,7,11,18,32,69,97,0.553,,0.464,6.5,1.9,2.1,0.1,1990,caldwad01
Lanard Copeland,"Nov 8, '89, PHI vs. MIA",24,1,23,110,31,68,1,5,11,14,4,10,9,1,1,19,12,74,0.456,0.2,0.786,4.8,3.2,0.4,0.4,1990,copella01
Terry Davis,"Nov 3, '89, MIA vs. NJN",22,1,63,884,122,262,0,1,54,87,93,229,25,25,28,68,171,298,0.466,0.0,0.621,14.0,4.7,3.6,0.4,1990,daviste01
Byron Dinkins,"Nov 16, '89, HOU vs. LAC",22,1,33,362,44,109,1,9,26,30,13,40,75,19,2,37,30,115,0.404,0.111,0.867,11.0,3.5,1.2,2.3,1990,dinkiby01
Vlade Divac*,"Nov 3, '89, LAL @ DAL",21,1,82,1611,274,549,0,5,153,216,167,512,75,79,114,110,240,701,0.499,0.0,0.708,19.6,8.5,6.2,0.9,1990,divacvl01
Sherman Douglas,"Nov 3, '89, MIA vs. NJN",23,1,81,2470,463,938,5,31,224,326,70,206,619,145,10,246,187,1155,0.494,0.161,0.687,30.5,14.3,2.5,7.6,1990,douglsh01
Terry Dozier,"Nov 3, '89, CHH vs. WSB",23,1,9,92,9,27,0,1,4,8,7,15,3,6,2,7,10,22,0.333,0.0,0.5,10.2,2.4,1.7,0.3,1990,doziete01
Blue Edwards,"Nov 3, '89, UTA vs. DEN",24,1,82,1889,286,564,9,30,146,203,69,251,145,76,36,152,280,727,0.507,0.3,0.719,23.0,8.9,3.1,1.8,1990,edwarbl01
Jay Edwards,"Jan 22, '90, LAC @ SAC",21,1,4,26,3,7,0,2,1,3,1,2,4,1,0,1,4,7,0.429,0.0,0.333,6.5,1.8,0.5,1.0,1990,edwarja02
Sean Elliott,"Nov 4, '89, SAS vs. LAL",21,1,81,2032,311,647,1,9,187,216,127,297,154,45,14,112,172,810,0.481,0.111,0.866,25.1,10.0,3.7,1.9,1990,elliose01
Pervis Ellison,"Nov 14, '89, SAC vs. CHI",22,1,34,866,111,251,0,2,49,78,64,196,65,16,57,62,132,271,0.442,0.0,0.628,25.5,8.0,5.8,1.9,1990,ellispe01
Derrick Gervin,"Feb 14, '90, NJN @ PHI",26,1,21,339,93,197,0,3,65,89,29,65,8,20,7,12,47,251,0.472,0.0,0.73,16.1,12.0,3.1,0.4,1990,gervide01
Greg Grant,"Nov 3, '89, PHO vs. GSW",23,1,67,678,83,216,3,16,39,59,16,59,168,36,1,77,58,208,0.384,0.188,0.661,10.1,3.1,0.9,2.5,1990,grantgr01
Scott Haffner,"Nov 3, '89, MIA vs. NJN",23,1,43,559,88,217,3,21,17,25,7,51,80,13,2,33,53,196,0.406,0.143,0.68,13.0,4.6,1.2,1.9,1990,haffnsc01
Tom Hammonds,"Nov 3, '89, WSB @ CHH",22,1,61,805,129,295,0,1,63,98,61,168,51,11,14,46,98,321,0.437,0.0,0.643,13.2,5.3,2.8,0.8,1990,hammoto01
Tim Hardaway*,"Nov 3, '89, GSW @ PHO",23,1,79,2663,464,985,23,84,211,276,57,310,689,165,12,260,232,1162,0.471,0.274,0.764,33.7,14.7,3.9,8.7,1990,hardati01
Mike Higgins,"Nov 12, '89, LAL vs. DAL",22,1,11,50,3,8,0,0,8,10,2,4,3,2,2,1,5,14,0.375,,0.8,4.5,1.3,0.4,0.3,1990,higgimi01
Ed Horton,"Nov 3, '89, WSB @ CHH",22,1,45,374,80,162,0,4,42,69,59,108,19,9,5,39,63,202,0.494,0.0,0.609,8.3,4.5,2.4,0.4,1990,hortoed01
Byron Irvin,"Nov 7, '89, POR @ HOU",23,1,50,488,96,203,5,14,61,91,30,74,47,28,1,39,40,258,0.473,0.357,0.67,9.8,5.2,1.5,0.9,1990,irvinby01
Jaren Jackson,"Nov 3, '89, NJN @ MIA",22,1,28,160,25,69,0,3,17,21,16,24,13,13,1,18,16,67,0.362,0.0,0.81,5.7,2.4,0.9,0.5,1990,jacksja01
Eric Johnson,"Nov 8, '89, UTA vs. CHH",23,1,48,272,20,84,1,6,13,17,8,28,64,17,2,26,49,54,0.238,0.167,0.765,5.7,1.1,0.6,1.3,1990,johnser01
Nate Johnston,"Nov 10, '89, UTA vs. SAS",23,1,21,87,18,48,1,4,9,13,13,23,1,3,8,6,11,46,0.375,0.25,0.692,4.1,2.2,1.1,0.0,1990,johnsna01
Shawn Kemp,"Nov 3, '89, SEA vs. MIN",20,1,81,1120,203,424,2,12,117,159,146,346,26,47,70,107,204,525,0.479,0.167,0.736,13.8,6.5,4.3,0.3,1990,kempsh01
Stan Kimbrough,"Nov 7, '89, DET @ CHI",23,1,10,50,7,16,0,0,2,2,4,7,5,4,0,4,4,16,0.438,,1.0,5.0,1.6,0.7,0.5,1990,kimbrst01
Stacey King,"Nov 3, '89, CHI vs. CLE",23,1,82,1777,267,530,0,1,194,267,169,384,87,38,58,119,215,728,0.504,0.0,0.727,21.7,8.9,4.7,1.1,1990,kingst01
Frank Kornet,"Nov 16, '89, MIL vs. ORL",23,1,57,438,42,114,5,20,24,39,25,71,21,14,3,23,54,113,0.368,0.25,0.615,7.7,2.0,1.2,0.4,1990,kornefr01
Jeff Lebo,"Nov 10, '89, SAS @ UTA",23,1,4,32,2,7,0,0,2,2,2,4,3,2,0,1,7,6,0.286,,1.0,8.0,1.5,1.0,0.8,1990,leboje01
Tim Legler,"Mar 21, '90, PHO vs. CHH",23,1,11,83,11,29,0,1,6,6,4,8,6,2,0,4,12,28,0.379,0.0,1.0,7.5,2.5,0.7,0.5,1990,legleti01
Gary Leonard,"Nov 17, '89, MIN @ BOS",22,1,22,127,13,31,0,1,6,14,10,27,1,3,9,8,26,32,0.419,0.0,0.429,5.8,1.5,1.2,0.0,1990,leonaga01
Clifford Lett,"Mar 26, '90, CHI vs. PHO",24,1,4,28,2,8,0,0,0,0,0,0,1,0,0,2,8,4,0.25,,,7.0,1.0,0.0,0.3,1990,lettcl01
Todd Lichti,"Nov 3, '89, DEN @ UTA",23,1,79,1326,250,514,0,14,130,174,49,151,116,55,13,95,145,630,0.486,0.0,0.747,16.8,8.0,1.9,1.5,1990,lichtto01
Roy Marble,"Nov 3, '89, ATL vs. IND",23,1,24,162,16,58,0,2,19,29,15,24,11,7,1,14,16,51,0.276,0.0,0.655,6.8,2.1,1.0,0.5,1990,marblro01
Šarūnas Marčiulionis*,"Nov 3, '89, GSW @ PHO",25,1,75,1695,289,557,10,39,317,403,84,221,121,94,7,137,230,905,0.519,0.256,0.787,22.6,12.1,2.9,1.6,1990,marcisa01
Jeff Martin,"Nov 7, '89, LAC @ GSW",23,1,69,1351,170,414,2,15,91,129,78,159,44,41,16,47,97,433,0.411,0.133,0.705,19.6,6.3,2.3,0.6,1990,martije01
Anthony Mason,"Jan 29, '90, NJN @ DAL",23,1,21,108,14,40,0,0,9,15,11,34,7,2,2,11,20,37,0.35,,0.6,5.1,1.8,1.6,0.3,1990,masonan01
Bob McCann,"Feb 17, '90, DAL vs. ORL",25,1,10,62,7,21,0,0,12,14,4,12,6,2,2,6,7,26,0.333,,0.857,6.2,2.6,1.2,0.6,1990,mccanbo01
Mel McCants,"Nov 9, '89, LAL @ GSW",22,1,13,65,8,26,0,0,6,8,1,6,2,3,1,1,11,22,0.308,,0.75,5.0,1.7,0.5,0.2,1990,mccanme01
George McCloud,"Nov 3, '89, IND @ ATL",22,1,44,413,45,144,13,40,15,19,12,42,45,19,3,36,56,118,0.313,0.325,0.789,9.4,2.7,1.0,1.0,1990,mccloge01
Carlton McKinney,"Nov 3, '89, LAC vs. HOU",25,1,7,104,8,32,0,1,2,4,4,12,7,6,1,7,15,18,0.25,0.0,0.5,14.9,2.6,1.7,1.0,1990,mckinca01
Scott Meents,"Nov 4, '89, SEA @ SAC",26,1,26,148,19,44,0,0,17,23,7,30,7,4,3,9,12,55,0.432,,0.739,5.7,2.1,1.2,0.3,1990,meentsc01
Sam Mitchell,"Nov 3, '89, MIN @ SEA",26,1,80,2414,372,834,0,9,268,349,180,462,89,66,54,96,301,1012,0.446,0.0,0.768,30.2,12.7,5.8,1.1,1990,mitchsa01
Mike Morrison,"Dec 7, '89, PHO @ LAL",22,1,36,153,23,68,2,7,24,30,7,20,11,2,0,23,20,72,0.338,0.286,0.8,4.3,2.0,0.6,0.3,1990,morrimi01
John Morton,"Nov 4, '89, CLE @ IND",22,1,37,402,48,161,7,30,43,62,7,32,67,18,4,51,30,146,0.298,0.233,0.694,10.9,3.9,0.9,1.8,1990,mortojo01
Dyron Nix,"Nov 3, '89, IND @ ATL",22,1,20,109,14,39,0,0,11,16,8,26,5,3,1,7,15,39,0.359,,0.688,5.5,2.0,1.3,0.3,1990,nixdy01
Žarko Paspalj,"Nov 10, '89, SAS @ UTA",23,1,28,181,27,79,0,1,18,22,15,30,10,3,7,21,37,72,0.342,0.0,0.818,6.5,2.6,1.1,0.4,1990,paspaza01
Kenny Payne,"Nov 4, '89, PHI vs. MIL",23,1,35,216,47,108,4,10,16,18,11,26,10,7,6,20,37,114,0.435,0.4,0.889,6.2,3.3,0.7,0.3,1990,payneke01
Dražen Petrović*,"Nov 3, '89, POR vs. SAC",25,1,77,967,207,427,34,74,135,160,50,111,116,23,2,96,134,583,0.485,0.459,0.844,12.6,7.6,1.4,1.5,1990,petrodr01
Brian Quinnett,"Nov 4, '89, NYK vs. MIA",23,1,31,193,19,58,0,2,2,3,9,28,11,3,4,4,27,40,0.328,0.0,0.667,6.2,1.3,0.9,0.4,1990,quinnbr01
J.R. Reid,"Nov 3, '89, CHH vs. WSB",21,1,82,2757,358,814,0,5,192,289,199,691,101,92,54,172,292,908,0.44,0.0,0.664,33.6,11.1,8.4,1.2,1990,reidjr01
